,Years,Toll,Toll equivalentin 2018[274],Ref.
0,1936–1972,$0.25,$1.50–4.51,[275][276]
1,1972–1975,$0.50,$2.33–2.99,[276][277]
2,1975–1980,$0.75,$2.28–3.49,[277][278]
3,1980–1982,$1.00,$2.60–3.04,[278][279]
4,1982–1984,$1.25,$3.01–3.25,[279][280]
5,1984–1986,$1.50,$3.49–3.43,[280][281]
6,1986–1987,$1.75,$3.86–4.00,[281][282]
7,1987–1989,$2.00,$4.04–4.41,[282][283]
8,1989–1993,$2.50,$4.34–5.05,[283][284]
9,1993–1996,$3.00,$4.79–5.20,[284][285]
10,1996–2003,$3.50,$5.59–5.59,[285][286]
11,2003–2005,$4.00,$5.13–6.39,[286][287]
12,2005–2008,$4.50,$5.24–5.77,[287][288]
13,2008–2010,$5.00,$5.74–5.82,[288][289]
14,2010–2015,$6.50,$6.87–7.47,[289][290]
15,2015–2017,$8.00,$8.18–8.46,[291][292]
16,2017–2019,$8.50,$8.50–8.69,[293][294]
17,April 2019 – present,$9.50,$9.50,[295][269]
